FileName,VoiceVote,VoiceLevel,FaceVote,FaceLevel,MultiModalVote,MultiModalLevel,is_correct,filecode
1001_ITH_NEU_XX,N,76.88,N,73.38,N,74.3,1.0,N
1001_ITH_HAP_XX,F:N,35.67:74.67,H,64.33,H,55.8,0.0,H
1001_ITH_SAD_XX,N,83.6,N,70,N,59.4,0.0,S
1001_ITH_ANG_XX,A:D:N,39.00:89.00:83.67,A,80,D,29.8,0.0,A
1001_ITH_FEA_XX,F,53.89,A:F,48.67:57.67,F,62.67,1.0,F
1001_ITH_DIS_XX,N,75,D,51.5,D,61.4,0.0,D
1001_DFA_NEU_XX,N,64,N,77.22,N,75.88,1.0,N
1001_DFA_HAP_XX,N,75.25,H,66.57,H,57.9,0.0,H
1001_DFA_SAD_XX,N,46.8,N,66.71,N,63.6,0.0,S
1001_DFA_ANG_XX,A,47.33,A,41.8,A,41.5,1.0,A
1001_DFA_FEA_XX,F,60.6,D,54,F,44.8,1.0,F
1001_DFA_DIS_XX,D,39,A,55.17,D,41.83,1.0,D
1001_ITS_NEU_XX,N,82.44,N,61.38,N,77.6,1.0,N
1001_ITS_HAP_XX,H,50.83,H,54.75,H,67.4,1.0,H
1001_ITS_SAD_XX,N,70,N,58.17,N,61.75,0.0,S
1001_ITS_ANG_XX,D,54.67,A,45,A,42.33,0.0,A
1001_ITS_FEA_XX,F:H,44.00:38.33,F,57.43,F,70.14,0.0,F
1001_ITS_DIS_XX,N,62.4,D,60.2,D,45.4,0.0,D
1001_TSI_NEU_XX,N,70.5,N,68.38,N,77.36,1.0,N
1001_TSI_HAP_XX,F,60.4,H,85.67,H,74.27,0.0,H
1001_TSI_SAD_XX,N,73,S,45,N,54,0.0,S
1001_TSI_ANG_XX,D,64.5,A,42,A,44,0.0,A
1001_TSI_FEA_XX,F,50.29,F,55.88,F,64,1.0,F
1001_TSI_DIS_XX,N,74,D,62.38,D,65.57,0.0,D
1001_WSI_NEU_XX,N,65.43,N,72.78,N,71.78,1.0,N
1001_WSI_HAP_XX,A,47.75,H,72.8,H,78.78,0.0,H
1001_WSI_SAD_XX,N,80.33,N,56.67,N,68.29,0.0,S
1001_WSI_ANG_XX,A,51,A,56.17,A,63.3,1.0,A
1001_WSI_FEA_XX,A,58.43,F,63.25,F,58,0.0,F
1001_WSI_DIS_XX,N,54.6,D,57.2,D,63.14,0.0,D
1002_IEO_NEU_XX,N,86,N,77.44,N,84.6,1.0,N
1002_IEO_HAP_LO,F,66.8,H,65.11,H,76.3,0.0,H
1002_IEO_HAP_MD,N,68.33,H,57,H,50.67,0.0,H
1002_IEO_HAP_HI,F:H,54.75:61.00,H,79.25,H,77.5,0.0,H
1002_IEO_SAD_LO,S,51.6,S,56,N,80.14,1.0,S
1002_IEO_SAD_MD,N,64.2,N,77.29,N,81.8,0.0,S
1002_IEO_SAD_HI,N,51.5,N,68.89,N,73,0.0,S
1002_IEO_ANG_LO,A,52.14,D,40.25,D,75,1.0,A
1002_IEO_ANG_MD,A,58.5,A,51.5,A,52.43,1.0,A
1002_IEO_ANG_HI,D,61.8,A,56.25,A,70.14,0.0,A
1002_IEO_FEA_LO,F,64.2,F,61.75,F,58,1.0,F
1002_IEO_FEA_MD,D,53.75,F,51.5,N,59.8,0.0,F
1002_IEO_FEA_HI,F,64.6,F,80.14,F,68.56,1.0,F
1002_IEO_DIS_LO,N,71.4,D,58.11,N,61,0.0,D
1002_IEO_DIS_MD,F,74.75,D,70,F,56.25,0.0,D
1002_IEO_DIS_HI,N,53.83,D,54.5,D,33.4,0.0,D
1002_TIE_HAP_XX,A,65.38,H,73,H,77.67,0.0,H
1002_TIE_SAD_XX,F:S,48.67:57.67,N,66.8,F,77.5,0.0,S
1002_TIE_ANG_XX,A,76.5,H,74,A,79.22,1.0,A
1002_TIE_FEA_XX,F,64.8,F,55.4,F,57.57,1.0,F
1002_TIE_DIS_XX,D,50.5,D,59,D:H,64.75:50.25,1.0,D
1002_IOM_NEU_XX,N,61.25,N,73.14,N,85.5,1.0,N
1002_IOM_HAP_XX,N,68,H,61.3,H,73,0.0,H
1002_IOM_SAD_XX,N,67.75,N,54.25,F,49,0.0,S
1002_IOM_ANG_XX,A,77.12,A,66,A,69,1.0,A
1002_IOM_FEA_XX,N,88.25,N,67,N,89,0.0,F
1002_IOM_DIS_XX,F,61.25,F,57,F,51.8,0.0,D
1002_IWW_NEU_XX,F:N,49.75:43.50,N,72.57,N,66.17,0.0,N
1002_IWW_HAP_XX,H,53.43,H,63.7,H,65.7,1.0,H
1002_IWW_SAD_XX,N,52.5,N,74.71,F,62.6,0.0,S
1002_IWW_ANG_XX,A,51.25,A,67.43,A,39.4,1.0,A
1002_IWW_FEA_XX,F,61,F,40.75,F,62.45,1.0,F
1002_IWW_DIS_XX,D,33.25,D:F,65.2:60.6,F,65.83,1.0,D
1002_TAI_NEU_XX,N,54.4,N,60.62,N,81.67,1.0,N
1002_TAI_HAP_XX,H,63.5,H,57.22,H,60.43,1.0,H
1002_TAI_SAD_XX,D:S,57.00:50.33,N,81,F,49,0.0,S
1002_TAI_ANG_XX,D,71.6,D,66.6,D,68.33,0.0,A
1002_TAI_FEA_XX,F,48.25,D,67.2,F,63.67,1.0,F
1002_TAI_DIS_XX,D,51.5,D,68.11,D,53.4,1.0,D
1002_MTI_NEU_XX,N:S,66.00:47.75,N,80.78,N,69.5,0.0,N
1002_MTI_HAP_XX,F:H:N,56.67:50.33:41.67,H,61.6,H,58.88,0.0,H
1002_MTI_SAD_XX,F,22.25,D:S,54.67:52.33,S,51.67,0.0,S
1002_MTI_ANG_XX,D,55.75,D,51.75,D,78.8,0.0,A
1002_MTI_FEA_XX,N,42.75,F,51.83,F,52.75,0.0,F
1002_MTI_DIS_XX,S,54.8,D,53.25,S,51.4,0.0,D
1002_IWL_NEU_XX,N,65.57,N,72.5,N,70.9,1.0,N
1002_IWL_HAP_XX,N,55.83,H,68.67,H,76.12,0.0,H
1002_IWL_SAD_XX,N,71.33,N,65.33,N,57.33,0.0,S
1002_IWL_ANG_XX,A,58.57,A,42.33,A,46.71,1.0,A
1002_IWL_FEA_XX,N,61.75,N,42,F:N,40.00:82.33,0.0,F
1002_IWL_DIS_XX,N,62.75,F,38.25,F:H,20.75:77.00,0.0,D
1002_ITH_NEU_XX,N,65.14,N,76,N,66.29,1.0,N
1002_ITH_HAP_XX,F,59,H,68.75,H,61.62,0.0,H
1002_ITH_SAD_XX,D:F:S,71.0:35.5:14.0,D:N,45.67:48.00,S,44.2,0.0,S
1002_ITH_ANG_XX,D,46.75,A,52,A,44.6,0.0,A
1002_ITH_FEA_XX,F,53.29,D,34.67,F,48,1.0,F
1002_ITH_DIS_XX,S,29.67,F,51.78,F,50.5,0.0,D
1002_DFA_NEU_XX,N,60.12,N,51,N,68.25,1.0,N
1002_DFA_HAP_XX,H,45.57,H,65.8,H,56.75,1.0,H
1002_DFA_SAD_XX,N,65.71,N:S,88.8:49.2,N,56.83,0.0,S
1002_DFA_ANG_XX,A,77.33,A,72.67,A,82.33,1.0,A
1002_DFA_FEA_XX,F,48.12,F,44,F,57.22,1.0,F
1002_DFA_DIS_XX,D,63.43,D,63.88,D,69.62,1.0,D
1002_ITS_NEU_XX,F,59.25,N,72,N,84,0.0,N
1002_ITS_HAP_XX,H,49.86,H,64.67,H,71.38,1.0,H
1002_ITS_SAD_XX,N,31.5,N,74.67,N,67.8,0.0,S
1002_ITS_ANG_XX,N,64.8,A:N,54.25:75.00,D,47.5,0.0,A
1002_ITS_FEA_XX,F,68.86,F,54.86,F,76.88,1.0,F
1002_ITS_DIS_XX,S,57.33,D,71.12,D,62.8,0.0,D
1002_TSI_NEU_XX,N,74.25,N,82,N,64.67,1.0,N
1002_TSI_HAP_XX,F,49,H,72.14,H,60.5,0.0,H
1002_TSI_SAD_XX,N,47.83,N,59.43,S,33,0.0,S
1002_TSI_ANG_XX,A,54,A,55.71,A,64,1.0,A
1002_TSI_FEA_XX,N,61.83,A:N,54.33:46.67,N,63.4,0.0,F
1002_TSI_DIS_XX,D,76.43,A:D,57.75:59.75,A,63.8,1.0,D
1002_WSI_NEU_XX,N,68.5,N,62.44,N,69.33,1.0,N
1002_WSI_HAP_XX,A,50.8,H,59.22,H,59.38,0.0,H
1002_WSI_SAD_XX,N,60.33,D,44.5,S,56.67,0.0,S
1002_WSI_ANG_XX,A,62,A,51.67,A,63.62,1.0,A
1002_WSI_FEA_XX,N:S,76.5:57.0,F,31.2,F,38.17,0.0,F
1002_WSI_DIS_XX,A,49.6,F,56.83,A:D,69.25:72.00,0.0,D
1003_IEO_NEU_XX,N,67.7,N,55.83,N,89.14,1.0,N
1003_IEO_HAP_LO,N,77.75,H,66.8,H,77.12,0.0,H
1003_IEO_HAP_MD,N,75.5,H,73.2,H,87.44,0.0,H
1003_IEO_HAP_HI,H,66,H,79.2,H,65.27,1.0,H
1003_IEO_SAD_LO,N,65.6,S,65.29,N,80,0.0,S
1003_IEO_SAD_MD,N,54.5,S,57.14,S,55.33,0.0,S
1003_IEO_SAD_HI,N,57.8,S,68.33,S,70.44,0.0,S
1003_IEO_ANG_LO,A:D:N,39.33:62.00:55.33,N,67.89,A,34.83,0.0,A
1003_IEO_ANG_MD,A,71.56,F,53.67,A,69.83,1.0,A
1003_IEO_ANG_HI,A,82.62,F,68.67,A,70,1.0,A
1003_IEO_FEA_LO,D,39,N,77.83,N,69,0.0,F
1003_IEO_FEA_MD,N,63.67,D,45.75,N:S,33:51,0.0,F
1003_IEO_FEA_HI,N,78.4,N,58.5,S,48.8,0.0,F
1003_IEO_DIS_LO,N,84.17,D:S,67.25:80.00,D,59.67,0.0,D
1003_IEO_DIS_MD,N,52.4,D,81.2,S,70.17,0.0,D
1003_IEO_DIS_HI,D,30.75,D,75,D,71,1.0,D
1003_TIE_NEU_XX,N,71.57,N,83.14,N,76.22,1.0,N
1003_TIE_HAP_XX,H,46,H,75.6,H,78.22,1.0,H
1003_TIE_SAD_XX,S,48.75,N,68.4,N,61.5,1.0,S
1003_TIE_ANG_XX,A,61.89,A:H,67.75:37.50,A,62.5,1.0,A
1003_TIE_FEA_XX,F,49.29,F,62.83,F,66.14,1.0,F
1003_TIE_DIS_XX,A,53.33,F,57.67,D,70.33,0.0,D
1003_IOM_NEU_XX,N,72,N,62.17,N,75.75,1.0,N
1003_IOM_HAP_XX,H,59.8,H,79.8,H,72.22,1.0,H
1003_IOM_SAD_XX,S,47.6,N,77.8,S,59,1.0,S
1003_IOM_ANG_XX,A,57.71,H,33.5,A,72.4,1.0,A
1003_IOM_FEA_XX,S,57.75,F,46.33,S,45.83,0.0,F
1003_IOM_DIS_XX,D,61.86,D,61.5,D,60.5,1.0,D
1003_IWW_NEU_XX,N,67.4,N,63.57,N,69.17,1.0,N
1003_IWW_HAP_XX,H,79.89,H,78.45,H,63.3,1.0,H
1003_IWW_SAD_XX,F,34.75,N,58,F,36,0.0,S
1003_IWW_ANG_XX,A,67.88,H,56.25,A,59.5,1.0,A
1003_IWW_FEA_XX,F,55.22,F,47.2,F,68.56,1.0,F
1003_IWW_DIS_XX,F,42.33,D,73.5,D,57.22,0.0,D
1003_TAI_NEU_XX,N,65,N,67.62,N,72.25,1.0,N
1003_TAI_HAP_XX,F,54,H,90.1,H,66.89,0.0,H
1003_TAI_SAD_XX,S,64,S,51.4,S,60.38,1.0,S
1003_TAI_ANG_XX,F,70,A,60.1,A,62.43,0.0,A
1003_TAI_FEA_XX,S,39.6,F,56.75,F,73,0.0,F
1003_TAI_DIS_XX,D,63.4,S,58,D,67.33,1.0,D
1003_MTI_NEU_XX,N,55.43,N,78,N,81.33,1.0,N
1003_MTI_HAP_XX,N,65.17,H,77.09,H,75.5,0.0,H
1003_MTI_SAD_XX,N,58.5,N,67.12,S,64,0.0,S
1003_MTI_ANG_XX,A,63.4,A,66.25,A,55.6,1.0,A
1003_MTI_FEA_XX,N,72.5,F:N:S,86.67:66.00:73.67,S,60.83,0.0,F
1003_MTI_DIS_XX,S,54.33,S,70.33,S,58.56,0.0,D
1003_IWL_NEU_XX,N,54.88,N,72.78,N,76.11,1.0,N
1003_IWL_HAP_XX,N,53.5,H,78.6,H,87.2,0.0,H
1003_IWL_SAD_XX,N,61,N,62.83,S,60.4,0.0,S
1003_IWL_ANG_XX,A,79.89,A,62.14,A,86.56,1.0,A
1003_IWL_FEA_XX,F:N:S,64.67:57.67:49.33,S,53.75,F:S,56.50:84.25,0.0,F
1003_IWL_DIS_XX,N,77.5,D,76.83,D,74.33,0.0,D
1003_ITH_NEU_XX,N,90.83,N,71.75,N,85,1.0,N
1003_ITH_HAP_XX,N,73.75,H,77.8,H,62.56,0.0,H
1003_ITH_SAD_XX,N,81.5,N,80.33,S,57.5,0.0,S
1003_ITH_ANG_XX,A,82,H,62.67,A,52.25,1.0,A
1003_ITH_FEA_XX,S,67,N,67,F,71.2,0.0,F
1003_ITH_DIS_XX,N:S,77.50:26.75,S,76,D,47.25,0.0,D
1003_DFA_NEU_XX,N,86,N,60.2,N,80.75,1.0,N
1003_DFA_HAP_XX,H:S,48.00:40.67,H,79,H,86.78,0.0,H
1003_DFA_SAD_XX,N:S,61.25:57.50,N:S,64.25:69.75,S,45.33,0.0,S
1003_DFA_ANG_XX,A,74.86,A,60.83,A,71.33,1.0,A
1003_DFA_FEA_XX,F:N:S,42.67:66.33:44.33,F,54.83,F,45.12,0.0,F
1003_DFA_DIS_XX,N,59.5,S,69.17,D,62.57,0.0,D
1003_ITS_NEU_XX,N,65.71,N,75.22,N,72.44,1.0,N
1003_ITS_HAP_XX,H,63.5,H,84.7,H,77.33,1.0,H
1003_ITS_SAD_XX,S,64.8,S,63.2,F,57.4,1.0,S
1003_ITS_ANG_XX,A,62.6,A,44.5,A,65.75,1.0,A
1003_ITS_FEA_XX,S,61.6,F,57.25,F,62.8,0.0,F
1003_ITS_DIS_XX,F,46.33,D,83.57,D,70.3,0.0,D
1003_TSI_NEU_XX,N,67.2,N,76,N,75.33,1.0,N
1003_TSI_HAP_XX,H:N:S,58.5:62.5:31.5,H,74.67,H,74.56,0.0,H
1003_TSI_SAD_XX,N,60.5,N,91.17,N,86,0.0,S
1003_TSI_ANG_XX,A,67.25,A,62,A,73.88,1.0,A
1003_TSI_FEA_XX,F,69.57,F,53.5,F,69.12,1.0,F
1003_TSI_DIS_XX,D,69.5,D:F:S,76.00:77.67:77.00,D,78.1,1.0,D
1003_WSI_NEU_XX,N,55.5,N,68.2,N,71.38,1.0,N
1003_WSI_HAP_XX,S,70.6,H,87.88,H,78,0.0,H
1003_WSI_SAD_XX,S,59.83,S,60.2,S,67.8,1.0,S
1003_WSI_ANG_XX,A,88.67,A,67.4,A,69,1.0,A
1003_WSI_FEA_XX,S,65.25,N,82,F,54.5,0.0,F
1003_WSI_DIS_XX,A:D,88.00:57.67,D,77.88,D,62.56,0.0,D
1004_IEO_NEU_XX,N,59.67,N,85.22,N,71.67,1.0,N
1004_IEO_HAP_LO,N,54,H,73.78,H,71.9,0.0,H
1004_IEO_HAP_MD,D,61,H,78.9,H,71.11,0.0,H
1004_IEO_HAP_HI,F,77.25,H,84.78,H,91.8,0.0,H
1004_IEO_SAD_LO,S,65.6,S,43,S,58.33,1.0,S
1004_IEO_SAD_MD,N,56.38,S,58.43,S,71.6,0.0,S
1004_IEO_SAD_HI,N,64.8,S,71.1,S,74.2,0.0,S
1004_IEO_ANG_LO,A,46.86,F,58.67,A,68.14,1.0,A
1004_IEO_ANG_MD,A:D,69.2:77.8,A,83.12,A,79.78,0.0,A
1004_IEO_ANG_HI,A,85.1,A,86.78,A,90.33,1.0,A
1004_IEO_FEA_LO,N,50.2,F,55.12,F,50.25,0.0,F
1004_IEO_FEA_MD,D:N,46:79,F,55.67,F,65.67,0.0,F
1004_IEO_FEA_HI,N,51.8,F,61,F,65.6,0.0,F
1004_IEO_DIS_LO,N,90.25,S,77,D,59,0.0,D
1004_IEO_DIS_MD,D,68.8,S,75.56,D,70.5,1.0,D
1004_IEO_DIS_HI,D,50.57,D,62.71,D,67.67,1.0,D
1004_TIE_NEU_XX,N,62.2,N,61.67,N,83.25,1.0,N
1004_TIE_HAP_XX,D,69.67,H,68.33,H,53.57,0.0,H
1004_TIE_SAD_XX,S,56.14,S,69.17,S,77.38,1.0,S
1004_TIE_ANG_XX,A,87.9,A,86.2,A,91.8,1.0,A
1004_TIE_FEA_XX,F,70.6,F,75.17,F,62.89,1.0,F
1004_TIE_DIS_XX,D,66.2,S,83,D,82,1.0,D
1004_IOM_NEU_XX,N,56.44,N,73.83,N,83,1.0,N
1004_IOM_HAP_XX,H,62.33,H,75.6,H,81.38,1.0,H
1004_IOM_SAD_XX,N,40.43,S,65.71,S,49.67,0.0,S
1004_IOM_ANG_XX,A,58.33,A,62.38,A,62.83,1.0,A
1004_IOM_FEA_XX,N,61.83,F,69,F,50.83,0.0,F
1004_IOM_DIS_XX,N,64.17,S,69.2,D:F,40.00:64.33,0.0,D
1004_IWW_NEU_XX,N,61.71,N,63.75,N,87.14,1.0,N
1004_IWW_HAP_XX,H:N,53.25:75.25,H,77.2,H,66.25,0.0,H
1004_IWW_SAD_XX,F,36,S,62.83,F,64.2,0.0,S
1004_IWW_ANG_XX,D,71.67,D,62.4,A,69.88,0.0,A
1004_IWW_FEA_XX,F,38.4,F,64.5,F,47.78,1.0,F
1004_IWW_DIS_XX,F,58.2,S,82.5,F,45.6,0.0,D
1004_TAI_NEU_XX,N,73,N,66.38,N,78.75,1.0,N
1004_TAI_HAP_XX,N,72.5,H,78.27,H,74.33,0.0,H
1004_TAI_SAD_XX,F,64.25,S,68.2,S,56.29,0.0,S
1004_TAI_ANG_XX,A:D,61.6:60.2,A,54.67,A,69.5,0.0,A
1004_TAI_FEA_XX,N,46.5,F,42.71,F,56,0.0,F
1004_TAI_DIS_XX,D,59.33,D,65.33,D,62.29,1.0,D
1004_MTI_NEU_XX,N,66.14,N,62.43,N,76,1.0,N
1004_MTI_HAP_XX,N,72.33,H,81.8,H,70.25,0.0,H
1004_MTI_SAD_XX,S,57.71,S,58.67,S,51.25,1.0,S
1004_MTI_ANG_XX,D,51.33,A,51.33,A,70,0.0,A
1004_MTI_FEA_XX,F:N:S,44.33:69.33:35.67,S,69,F,78.6,0.0,F
1004_MTI_DIS_XX,N,75,D,74.4,D,47.67,0.0,D
1004_IWL_NEU_XX,N,56.67,N,79.5,N,64,1.0,N
1004_IWL_HAP_XX,N,72.5,H,76.4,H,74.3,0.0,H
1004_IWL_SAD_XX,S,58.9,S,77,S,74,1.0,S
1004_IWL_ANG_XX,A,69.25,A,53.44,A,74.43,1.0,A
1004_IWL_FEA_XX,N,53.88,S,63.88,F,58.33,0.0,F
1004_IWL_DIS_XX,D,45.6,S,82.44,D,56.4,1.0,D
1004_ITH_NEU_XX,N,77.12,N,62.57,N,74.86,1.0,N
1004_ITH_HAP_XX,F,60.4,H,84.2,H,86.67,0.0,H
1004_ITH_SAD_XX,N,60.8,S,46.8,N:S,90.25:42.00,0.0,S
1004_ITH_ANG_XX,A,81.56,A,55.43,A,77.17,1.0,A
1004_ITH_FEA_XX,F,41,F:N,78.25:49.25,F,59,1.0,F
1004_ITH_DIS_XX,F:S,54:35,D,55.75,D,48.29,0.0,D
1004_DFA_NEU_XX,A,20.67,N,66,N,72.5,0.0,N
1004_DFA_HAP_XX,H,70.5,H,90.36,H,75.7,1.0,H
1004_DFA_SAD_XX,N,52.57,S,58.12,S,61.86,0.0,S
1004_DFA_ANG_XX,A,76.29,A,67.12,A,80.5,1.0,A
1004_DFA_FEA_XX,D,68.33,A,72.25,N,77.8,0.0,F
1004_DFA_DIS_XX,D,71.38,S,79.2,D,60.88,1.0,D
1004_ITS_NEU_XX,N,57.43,N,81.38,N,71.43,1.0,N
1004_ITS_HAP_XX,N,63.5,H,59.62,H,62.12,0.0,H
1004_ITS_SAD_XX,F:S,58.75:83.00,S,45.33,S,60.6,0.0,S
1004_ITS_ANG_XX,A:D,65.75:69.00,A:D,54.8:54.0,D,52,0.0,A
1004_ITS_FEA_XX,F,47.43,F,48.62,F,57.5,1.0,F
1004_ITS_DIS_XX,D,47,D:F:S,41.33:52.00:76.33,D,67.29,1.0,D
1004_TSI_NEU_XX,N,70.56,N,59,N,66,1.0,N
1004_TSI_HAP_XX,N,52.8,H,72.71,H,67.64,0.0,H
1004_TSI_SAD_XX,N,44.2,N,69.67,F,70,0.0,S
1004_TSI_ANG_XX,A,51.17,A,60.75,A,64.25,1.0,A
1004_TSI_FEA_XX,N,53.4,A,52.4,F,55.14,0.0,F
1004_TSI_DIS_XX,D,62.1,S,79.56,D,61.67,1.0,D
1004_WSI_NEU_XX,N,65.25,N,55,N,54.8,1.0,N
1004_WSI_HAP_XX,D,40.67,H,76.33,H,75.3,0.0,H
1004_WSI_SAD_XX,N,47.57,S,45.33,A:D:S,32.00:37.67:50.00,0.0,S
1004_WSI_ANG_XX,A,64.14,A,65.22,A,77.6,1.0,A
1004_WSI_FEA_XX,S,49,F,67.86,F,51.09,0.0,F
1004_WSI_DIS_XX,D,52.89,S,67.8,D,63,1.0,D
1005_IEO_NEU_XX,N,85.33,N,75,N,74.11,1.0,N
1005_IEO_HAP_LO,N,74.29,H,66.71,H,51.6,0.0,H
1005_IEO_HAP_MD,N,69.2,H,72.44,H,71.6,0.0,H
1005_IEO_HAP_HI,H,74.14,H,69.11,H,72.3,1.0,H
1005_IEO_SAD_LO,N,52.5,N,77.86,N,80.33,0.0,S
1005_IEO_SAD_MD,N,46.67,N,72.2,S,78.33,0.0,S
1005_IEO_SAD_HI,N,71.12,N,86.86,N,39,0.0,S
1005_IEO_ANG_LO,N,68.4,N,76.27,N,76.78,0.0,A
1005_IEO_ANG_MD,A:D,61.0:63.6,N,78.43,D:N,53.25:86.25,0.0,A
1005_IEO_ANG_HI,A,80.22,H,44,A,62.56,1.0,A
1005_IEO_FEA_LO,N,71.71,N,62,N,82.6,0.0,F
1005_IEO_FEA_MD,N,63.83,F,37.83,D:F,36.33:47.00,0.0,F
1005_IEO_FEA_HI,F,53.2,F,71,F,48.75,1.0,F
1005_IEO_DIS_LO,N,72.56,N,55.2,N:S,78.33:46.00,0.0,D
1005_IEO_DIS_MD,N,73,D,70.62,D,57.57,0.0,D
1005_IEO_DIS_HI,D,63.8,F,58.2,D,57,1.0,D
1005_TIE_NEU_XX,N,81.44,N,83.12,N,70.57,1.0,N
1005_TIE_HAP_XX,H,73.75,H,66,H,79.14,1.0,H
1005_TIE_SAD_XX,N,45.8,F:S,41.25:65.25,N,67.25,0.0,S
1005_TIE_ANG_XX,A,65.67,A,36.75,A,57.67,1.0,A
1005_TIE_FEA_XX,A,50.2,F,51.88,F,36.4,0.0,F
1005_TIE_DIS_XX,D,33.33,D,62.38,D,65.6,1.0,D
1005_IOM_NEU_XX,N,69.33,N,80.75,N,74,1.0,N
1005_IOM_HAP_XX,H,71.83,H,72.6,H,76,1.0,H
1005_IOM_SAD_XX,S,42.25,N,70.6,N,61.33,1.0,S
1005_IOM_ANG_XX,A,78.25,A:N,60.00:63.67,A,65.89,1.0,A
1005_IOM_FEA_XX,N:S,49.00:41.25,N,68.75,F:N,52.75:81.00,0.0,F
1005_IOM_DIS_XX,D,53.43,F,59,N,82,1.0,D
1005_IWW_NEU_XX,N,85,N,86,N,78,1.0,N
1005_IWW_HAP_XX,H:N,22.33:86.00,N,73.2,N,78.5,0.0,H
1005_IWW_SAD_XX,N,72.2,N,73.71,F:N,47.6:57.4,0.0,S
1005_IWW_ANG_XX,D:F,41.0:44.5,N,64.33,F,62.5,0.0,A
