FileID,actorID,Emotion,SentenceID
1057_IEO_HAP_MD,1057,HAP,IEO
1020_IEO_DIS_MD,1020,DIS,IEO
1004_IWL_SAD_XX,1004,SAD,IWL
1010_IEO_HAP_LO,1010,HAP,IEO
1059_IOM_SAD_XX,1059,SAD,IOM
1063_IEO_SAD_HI,1063,SAD,IEO
1012_TAI_NEU_XX,1012,NEU,TAI
1049_MTI_HAP_XX,1049,HAP,MTI
1068_ITH_HAP_XX,1068,HAP,ITH
1008_IWL_ANG_XX,1008,ANG,IWL
1080_MTI_SAD_XX,1080,SAD,MTI
1001_WSI_FEA_XX,1001,FEA,WSI
1027_ITS_DIS_XX,1027,DIS,ITS
1040_IWL_NEU_XX,1040,NEU,IWL
1049_IEO_FEA_HI,1049,FEA,IEO
1024_DFA_ANG_XX,1024,ANG,DFA
1069_IEO_ANG_MD,1069,ANG,IEO
1088_TSI_DIS_XX,1088,DIS,TSI
1076_ITH_SAD_XX,1076,SAD,ITH
1039_MTI_SAD_XX,1039,SAD,MTI
1070_ITS_ANG_XX,1070,ANG,ITS
1074_WSI_SAD_XX,1074,SAD,WSI
1030_MTI_HAP_XX,1030,HAP,MTI
1040_ITS_FEA_XX,1040,FEA,ITS
1083_IEO_HAP_LO,1083,HAP,IEO
1086_ITS_HAP_XX,1086,HAP,ITS
1001_WSI_ANG_XX,1001,ANG,WSI
1049_IEO_SAD_LO,1049,SAD,IEO
1040_IEO_HAP_MD,1040,HAP,IEO
1004_ITS_HAP_XX,1004,HAP,ITS
1030_IEO_DIS_HI,1030,DIS,IEO
1048_ITS_FEA_XX,1048,FEA,ITS
1072_TSI_NEU_XX,1072,NEU,TSI
1018_IWW_NEU_XX,1018,NEU,IWW
1054_ITH_ANG_XX,1054,ANG,ITH
1009_WSI_DIS_XX,1009,DIS,WSI
1053_DFA_HAP_XX,1053,HAP,DFA
1056_WSI_HAP_XX,1056,HAP,WSI
1046_IOM_FEA_XX,1046,FEA,IOM
1051_DFA_DIS_XX,1051,DIS,DFA
1065_IEO_SAD_LO,1065,SAD,IEO
1065_ITS_ANG_XX,1065,ANG,ITS
1064_IWL_SAD_XX,1064,SAD,IWL
1035_IEO_SAD_MD,1035,SAD,IEO
1053_IEO_SAD_HI,1053,SAD,IEO
1036_TIE_FEA_XX,1036,FEA,TIE
1035_TIE_SAD_XX,1035,SAD,TIE
1053_TSI_DIS_XX,1053,DIS,TSI
1051_IOM_DIS_XX,1051,DIS,IOM
1054_WSI_HAP_XX,1054,HAP,WSI
1036_WSI_HAP_XX,1036,HAP,WSI
1090_IEO_DIS_HI,1090,DIS,IEO
1063_TAI_ANG_XX,1063,ANG,TAI
1024_TAI_NEU_XX,1024,NEU,TAI
1033_DFA_ANG_XX,1033,ANG,DFA
1037_TSI_NEU_XX,1037,NEU,TSI
1048_IWL_HAP_XX,1048,HAP,IWL
1067_IEO_HAP_LO,1067,HAP,IEO
1059_DFA_HAP_XX,1059,HAP,DFA
1008_TSI_SAD_XX,1008,SAD,TSI
1078_TAI_ANG_XX,1078,ANG,TAI
1005_IEO_SAD_MD,1005,SAD,IEO
1037_IWW_ANG_XX,1037,ANG,IWW
1051_TIE_ANG_XX,1051,ANG,TIE
1014_TIE_SAD_XX,1014,SAD,TIE
1084_TIE_ANG_XX,1084,ANG,TIE
1044_IOM_NEU_XX,1044,NEU,IOM
1012_TIE_FEA_XX,1012,FEA,TIE
1060_TSI_HAP_XX,1060,HAP,TSI
1077_MTI_FEA_XX,1077,FEA,MTI
1043_ITS_NEU_XX,1043,NEU,ITS
1040_WSI_HAP_XX,1040,HAP,WSI
1049_TSI_HAP_XX,1049,HAP,TSI
1080_ITH_NEU_XX,1080,NEU,ITH
1033_MTI_SAD_XX,1033,SAD,MTI
1079_TSI_HAP_XX,1079,HAP,TSI
1035_MTI_DIS_XX,1035,DIS,MTI
1028_IOM_ANG_XX,1028,ANG,IOM
1080_TIE_SAD_XX,1080,SAD,TIE
1048_TSI_ANG_XX,1048,ANG,TSI
1025_IWL_FEA_XX,1025,FEA,IWL
1062_WSI_SAD_XX,1062,SAD,WSI
1051_MTI_NEU_XX,1051,NEU,MTI
1010_IWW_SAD_XX,1010,SAD,IWW
1022_IWW_DIS_XX,1022,DIS,IWW
1008_IOM_NEU_XX,1008,NEU,IOM
1086_TAI_NEU_XX,1086,NEU,TAI
1085_TSI_DIS_XX,1085,DIS,TSI
1008_IWL_HAP_XX,1008,HAP,IWL
1015_IEO_ANG_LO,1015,ANG,IEO
1039_IWL_FEA_XX,1039,FEA,IWL
1044_TAI_HAP_XX,1044,HAP,TAI
1083_ITS_HAP_XX,1083,HAP,ITS
1041_WSI_DIS_XX,1041,DIS,WSI
1088_IWL_HAP_XX,1088,HAP,IWL
1008_DFA_ANG_XX,1008,ANG,DFA
1056_ITS_DIS_XX,1056,DIS,ITS
1003_IEO_DIS_LO,1003,DIS,IEO
1066_TAI_FEA_XX,1066,FEA,TAI
1068_MTI_DIS_XX,1068,DIS,MTI
1088_TIE_DIS_XX,1088,DIS,TIE
1081_TAI_FEA_XX,1081,FEA,TAI
1067_WSI_DIS_XX,1067,DIS,WSI
1017_TAI_NEU_XX,1017,NEU,TAI
1020_MTI_DIS_XX,1020,DIS,MTI
1011_ITH_NEU_XX,1011,NEU,ITH
1091_DFA_FEA_XX,1091,FEA,DFA
1030_IWL_HAP_XX,1030,HAP,IWL
1010_IEO_SAD_MD,1010,SAD,IEO
1036_TIE_DIS_XX,1036,DIS,TIE
1028_IEO_HAP_LO,1028,HAP,IEO
1046_DFA_NEU_XX,1046,NEU,DFA
1040_ITS_NEU_XX,1040,NEU,ITS
1073_DFA_FEA_XX,1073,FEA,DFA
1072_IWL_DIS_XX,1072,DIS,IWL
1056_IWW_ANG_XX,1056,ANG,IWW
1007_IEO_ANG_LO,1007,ANG,IEO
1076_IEO_DIS_LO,1076,DIS,IEO
1008_TAI_FEA_XX,1008,FEA,TAI
1070_IOM_HAP_XX,1070,HAP,IOM
1085_DFA_DIS_XX,1085,DIS,DFA
1025_IOM_ANG_XX,1025,ANG,IOM
1016_IOM_FEA_XX,1016,FEA,IOM
1006_TAI_ANG_XX,1006,ANG,TAI
1020_WSI_FEA_XX,1020,FEA,WSI
1060_IEO_HAP_MD,1060,HAP,IEO
1026_IWL_ANG_XX,1026,ANG,IWL
1041_WSI_ANG_XX,1041,ANG,WSI
1069_WSI_DIS_XX,1069,DIS,WSI
1016_IEO_FEA_LO,1016,FEA,IEO
1006_ITS_FEA_XX,1006,FEA,ITS
1034_DFA_HAP_XX,1034,HAP,DFA
1090_IWL_HAP_XX,1090,HAP,IWL
1007_IOM_NEU_XX,1007,NEU,IOM
1019_IWW_NEU_XX,1019,NEU,IWW
1031_IOM_SAD_XX,1031,SAD,IOM
1045_MTI_DIS_XX,1045,DIS,MTI
1076_DFA_ANG_XX,1076,ANG,DFA
1027_ITS_HAP_XX,1027,HAP,ITS
1044_TIE_SAD_XX,1044,SAD,TIE
1073_IWW_DIS_XX,1073,DIS,IWW
1070_WSI_ANG_XX,1070,ANG,WSI
1019_IEO_DIS_MD,1019,DIS,IEO
1068_TIE_HAP_XX,1068,HAP,TIE
1042_ITH_DIS_XX,1042,DIS,ITH
1085_IEO_HAP_MD,1085,HAP,IEO
1067_MTI_FEA_XX,1067,FEA,MTI
1056_ITH_SAD_XX,1056,SAD,ITH
1007_IWW_SAD_XX,1007,SAD,IWW
1050_MTI_NEU_XX,1050,NEU,MTI
1086_IEO_FEA_MD,1086,FEA,IEO
1090_ITH_FEA_XX,1090,FEA,ITH
1059_IEO_DIS_LO,1059,DIS,IEO
1072_IEO_ANG_LO,1072,ANG,IEO
1076_TAI_FEA_XX,1076,FEA,TAI
1012_TAI_SAD_XX,1012,SAD,TAI
1056_TAI_ANG_XX,1056,ANG,TAI
1082_ITS_ANG_XX,1082,ANG,ITS
1007_WSI_SAD_XX,1007,SAD,WSI
1046_IEO_ANG_HI,1046,ANG,IEO
1054_IEO_ANG_HI,1054,ANG,IEO
1087_IWW_HAP_XX,1087,HAP,IWW
1043_IEO_DIS_LO,1043,DIS,IEO
1040_WSI_ANG_XX,1040,ANG,WSI
1090_DFA_FEA_XX,1090,FEA,DFA
1036_IEO_NEU_XX,1036,NEU,IEO
1014_ITH_ANG_XX,1014,ANG,ITH
1035_IWW_FEA_XX,1035,FEA,IWW
1014_TAI_NEU_XX,1014,NEU,TAI
1066_IEO_NEU_XX,1066,NEU,IEO
1047_IWW_NEU_XX,1047,NEU,IWW
1021_IWL_ANG_XX,1021,ANG,IWL
1026_IEO_ANG_LO,1026,ANG,IEO
1066_TAI_HAP_XX,1066,HAP,TAI
1044_MTI_ANG_XX,1044,ANG,MTI
1073_IWW_HAP_XX,1073,HAP,IWW
1028_IWL_NEU_XX,1028,NEU,IWL
1014_MTI_SAD_XX,1014,SAD,MTI
1078_IWL_SAD_XX,1078,SAD,IWL
1008_TIE_SAD_XX,1008,SAD,TIE
1054_WSI_FEA_XX,1054,FEA,WSI
1074_DFA_DIS_XX,1074,DIS,DFA
1081_IEO_SAD_HI,1081,SAD,IEO
1076_ITH_FEA_XX,1076,FEA,ITH
1007_ITH_ANG_XX,1007,ANG,ITH
1028_IEO_HAP_HI,1028,HAP,IEO
1050_MTI_HAP_XX,1050,HAP,MTI
1007_MTI_DIS_XX,1007,DIS,MTI
1009_IWL_NEU_XX,1009,NEU,IWL
1007_MTI_ANG_XX,1007,ANG,MTI
1077_IEO_NEU_XX,1077,NEU,IEO
1073_ITS_FEA_XX,1073,FEA,ITS
1041_ITH_DIS_XX,1041,DIS,ITH
1059_TIE_NEU_XX,1059,NEU,TIE
1002_IWL_HAP_XX,1002,HAP,IWL
1013_IEO_ANG_LO,1013,ANG,IEO
1060_IEO_ANG_HI,1060,ANG,IEO
1028_IWW_FEA_XX,1028,FEA,IWW
1035_IOM_DIS_XX,1035,DIS,IOM
1007_DFA_DIS_XX,1007,DIS,DFA
1078_TAI_HAP_XX,1078,HAP,TAI
1036_MTI_HAP_XX,1036,HAP,MTI
1006_ITH_SAD_XX,1006,SAD,ITH
1039_IOM_ANG_XX,1039,ANG,IOM
1047_TIE_FEA_XX,1047,FEA,TIE
1063_WSI_SAD_XX,1063,SAD,WSI
1056_IEO_ANG_HI,1056,ANG,IEO
1054_IOM_SAD_XX,1054,SAD,IOM
1078_IEO_HAP_MD,1078,HAP,IEO
1035_WSI_NEU_XX,1035,NEU,WSI
1058_WSI_ANG_XX,1058,ANG,WSI
1012_TIE_ANG_XX,1012,ANG,TIE
1081_DFA_NEU_XX,1081,NEU,DFA
1077_ITH_SAD_XX,1077,SAD,ITH
1086_IEO_HAP_MD,1086,HAP,IEO
1082_MTI_FEA_XX,1082,FEA,MTI
1037_WSI_FEA_XX,1037,FEA,WSI
1022_IEO_FEA_LO,1022,FEA,IEO
1085_IEO_FEA_MD,1085,FEA,IEO
1090_TAI_DIS_XX,1090,DIS,TAI
1061_IWW_FEA_XX,1061,FEA,IWW
1059_IOM_FEA_XX,1059,FEA,IOM
1091_IEO_NEU_XX,1091,NEU,IEO
1085_ITS_ANG_XX,1085,ANG,ITS
1031_IWW_ANG_XX,1031,ANG,IWW
1007_IEO_FEA_MD,1007,FEA,IEO
1033_IEO_DIS_LO,1033,DIS,IEO
1035_DFA_NEU_XX,1035,NEU,DFA
1003_TAI_NEU_XX,1003,NEU,TAI
1089_ITH_DIS_XX,1089,DIS,ITH
1062_IEO_SAD_LO,1062,SAD,IEO
1008_IEO_ANG_MD,1008,ANG,IEO
1057_DFA_DIS_XX,1057,DIS,DFA
1061_WSI_HAP_XX,1061,HAP,WSI
1027_TAI_NEU_XX,1027,NEU,TAI
1041_ITH_HAP_XX,1041,HAP,ITH
1091_ITH_FEA_XX,1091,FEA,ITH
1068_ITS_ANG_XX,1068,ANG,ITS
1041_IOM_HAP_XX,1041,HAP,IOM
1068_WSI_DIS_XX,1068,DIS,WSI
1078_TIE_ANG_XX,1078,ANG,TIE
1064_ITH_DIS_XX,1064,DIS,ITH
1030_TSI_FEA_XX,1030,FEA,TSI
1049_ITS_HAP_XX,1049,HAP,ITS
1016_IOM_NEU_XX,1016,NEU,IOM
1051_ITS_DIS_XX,1051,DIS,ITS
1002_TAI_DIS_XX,1002,DIS,TAI
1028_ITS_SAD_XX,1028,SAD,ITS
1002_IEO_FEA_MD,1002,FEA,IEO
1001_TAI_FEA_XX,1001,FEA,TAI
1035_TAI_FEA_XX,1035,FEA,TAI
1025_TSI_ANG_XX,1025,ANG,TSI
1073_ITS_DIS_XX,1073,DIS,ITS
1040_ITH_ANG_XX,1040,ANG,ITH
1027_WSI_ANG_XX,1027,ANG,WSI
1028_ITS_FEA_XX,1028,FEA,ITS
1067_IWW_SAD_XX,1067,SAD,IWW
1047_TSI_HAP_XX,1047,HAP,TSI
1008_IEO_DIS_MD,1008,DIS,IEO
1019_TSI_SAD_XX,1019,SAD,TSI
1036_IEO_DIS_MD,1036,DIS,IEO
1054_IEO_SAD_HI,1054,SAD,IEO
1001_IWL_ANG_XX,1001,ANG,IWL
1078_ITS_FEA_XX,1078,FEA,ITS
1088_WSI_DIS_XX,1088,DIS,WSI
1032_IWL_FEA_XX,1032,FEA,IWL
1002_WSI_NEU_XX,1002,NEU,WSI
1006_MTI_NEU_XX,1006,NEU,MTI
1066_IEO_ANG_MD,1066,ANG,IEO
1038_MTI_NEU_XX,1038,NEU,MTI
1051_IWL_DIS_XX,1051,DIS,IWL
1039_DFA_DIS_XX,1039,DIS,DFA
1050_IWL_DIS_XX,1050,DIS,IWL
1071_TAI_FEA_XX,1071,FEA,TAI
1074_WSI_ANG_XX,1074,ANG,WSI
1030_TSI_NEU_XX,1030,NEU,TSI
1073_DFA_HAP_XX,1073,HAP,DFA
1084_IEO_FEA_MD,1084,FEA,IEO
1071_TSI_FEA_XX,1071,FEA,TSI
1071_IWL_ANG_XX,1071,ANG,IWL
1061_TSI_DIS_XX,1061,DIS,TSI
1040_ITH_FEA_XX,1040,FEA,ITH
1066_MTI_FEA_XX,1066,FEA,MTI
1031_TAI_HAP_XX,1031,HAP,TAI
1059_TAI_SAD_XX,1059,SAD,TAI
1020_IWL_ANG_XX,1020,ANG,IWL
1035_DFA_ANG_XX,1035,ANG,DFA
1015_TAI_HAP_XX,1015,HAP,TAI
1082_IWW_DIS_XX,1082,DIS,IWW
1069_DFA_NEU_XX,1069,NEU,DFA
1065_ITS_NEU_XX,1065,NEU,ITS
1003_IEO_ANG_HI,1003,ANG,IEO
1062_WSI_FEA_XX,1062,FEA,WSI
1053_TSI_NEU_XX,1053,NEU,TSI
1069_TIE_ANG_XX,1069,ANG,TIE
1009_IWL_ANG_XX,1009,ANG,IWL
1038_WSI_HAP_XX,1038,HAP,WSI
1072_IWL_HAP_XX,1072,HAP,IWL
1016_DFA_NEU_XX,1016,NEU,DFA
1020_WSI_ANG_XX,1020,ANG,WSI
1028_TIE_ANG_XX,1028,ANG,TIE
1024_ITH_HAP_XX,1024,HAP,ITH
1039_IWW_DIS_XX,1039,DIS,IWW
1035_MTI_HAP_XX,1035,HAP,MTI
1031_WSI_ANG_XX,1031,ANG,WSI
1037_ITS_DIS_XX,1037,DIS,ITS
1034_TIE_NEU_XX,1034,NEU,TIE
1091_WSI_ANG_XX,1091,ANG,WSI
1012_TAI_DIS_XX,1012,DIS,TAI
1051_IOM_NEU_XX,1051,NEU,IOM
1013_TAI_ANG_XX,1013,ANG,TAI
1039_ITH_HAP_XX,1039,HAP,ITH
1051_IEO_SAD_HI,1051,SAD,IEO
1024_IOM_FEA_XX,1024,FEA,IOM
1076_ITH_DIS_XX,1076,DIS,ITH
1050_IOM_ANG_XX,1050,ANG,IOM
1017_TSI_ANG_XX,1017,ANG,TSI
1084_TAI_NEU_XX,1084,NEU,TAI
1052_IOM_ANG_XX,1052,ANG,IOM
1086_IEO_DIS_HI,1086,DIS,IEO
1057_ITS_FEA_XX,1057,FEA,ITS
1089_DFA_DIS_XX,1089,DIS,DFA
1019_DFA_SAD_XX,1019,SAD,DFA
1015_IWL_ANG_XX,1015,ANG,IWL
1047_IEO_SAD_MD,1047,SAD,IEO
1015_TAI_ANG_XX,1015,ANG,TAI
1022_ITS_NEU_XX,1022,NEU,ITS
1019_IEO_DIS_LO,1019,DIS,IEO
1047_IOM_ANG_XX,1047,ANG,IOM
1072_TAI_SAD_XX,1072,SAD,TAI
1008_ITH_SAD_XX,1008,SAD,ITH
1056_MTI_SAD_XX,1056,SAD,MTI
1068_TAI_HAP_XX,1068,HAP,TAI
1038_IEO_ANG_MD,1038,ANG,IEO
1016_ITS_HAP_XX,1016,HAP,ITS
1091_ITH_DIS_XX,1091,DIS,ITH
1075_IWL_ANG_XX,1075,ANG,IWL
1066_IEO_SAD_LO,1066,SAD,IEO
1063_IEO_ANG_MD,1063,ANG,IEO
1078_IWW_HAP_XX,1078,HAP,IWW
1081_ITH_ANG_XX,1081,ANG,ITH
1091_WSI_DIS_XX,1091,DIS,WSI
1004_IOM_NEU_XX,1004,NEU,IOM
1074_MTI_NEU_XX,1074,NEU,MTI
1005_TSI_FEA_XX,1005,FEA,TSI
1027_TIE_FEA_XX,1027,FEA,TIE
1019_TSI_NEU_XX,1019,NEU,TSI
1068_IOM_ANG_XX,1068,ANG,IOM
1029_TIE_DIS_XX,1029,DIS,TIE
1071_IEO_SAD_LO,1071,SAD,IEO
1052_IWL_DIS_XX,1052,DIS,IWL
1011_DFA_DIS_XX,1011,DIS,DFA
1061_ITH_ANG_XX,1061,ANG,ITH
1063_MTI_NEU_XX,1063,NEU,MTI
1089_WSI_NEU_XX,1089,NEU,WSI
1080_IEO_FEA_LO,1080,FEA,IEO
1035_DFA_FEA_XX,1035,FEA,DFA
1059_MTI_ANG_XX,1059,ANG,MTI
1079_TIE_SAD_XX,1079,SAD,TIE
1059_DFA_DIS_XX,1059,DIS,DFA
1085_IOM_NEU_XX,1085,NEU,IOM
1032_ITS_NEU_XX,1032,NEU,ITS
1015_IWW_NEU_XX,1015,NEU,IWW
1028_TSI_DIS_XX,1028,DIS,TSI
1058_TIE_SAD_XX,1058,SAD,TIE
1085_IEO_DIS_LO,1085,DIS,IEO
1024_IWW_ANG_XX,1024,ANG,IWW
1073_TIE_ANG_XX,1073,ANG,TIE
1006_DFA_DIS_XX,1006,DIS,DFA
1055_WSI_FEA_XX,1055,FEA,WSI
1034_TSI_DIS_XX,1034,DIS,TSI
1046_IEO_HAP_MD,1046,HAP,IEO
1065_TAI_ANG_XX,1065,ANG,TAI
1072_TSI_ANG_XX,1072,ANG,TSI
1008_MTI_SAD_XX,1008,SAD,MTI
1002_IOM_SAD_XX,1002,SAD,IOM
1010_IWW_FEA_XX,1010,FEA,IWW
1068_IEO_ANG_HI,1068,ANG,IEO
1059_IWL_HAP_XX,1059,HAP,IWL
1073_IEO_HAP_MD,1073,HAP,IEO
1034_IWW_ANG_XX,1034,ANG,IWW
1012_DFA_FEA_XX,1012,FEA,DFA
1089_TSI_DIS_XX,1089,DIS,TSI
1014_TSI_DIS_XX,1014,DIS,TSI
1036_IWL_SAD_XX,1036,SAD,IWL
1051_MTI_HAP_XX,1051,HAP,MTI
1018_IEO_SAD_LO,1018,SAD,IEO
1070_TIE_ANG_XX,1070,ANG,TIE
1050_WSI_SAD_XX,1050,SAD,WSI
1072_ITS_DIS_XX,1072,DIS,ITS
1052_ITH_HAP_XX,1052,HAP,ITH
1083_IEO_NEU_XX,1083,NEU,IEO
1074_IEO_FEA_HI,1074,FEA,IEO
1057_MTI_NEU_XX,1057,NEU,MTI
1059_IWW_ANG_XX,1059,ANG,IWW
1013_DFA_FEA_XX,1013,FEA,DFA
1080_WSI_HAP_XX,1080,HAP,WSI
1086_IEO_SAD_MD,1086,SAD,IEO
1085_IWL_SAD_XX,1085,SAD,IWL
1006_ITS_NEU_XX,1006,NEU,ITS
1043_IEO_ANG_LO,1043,ANG,IEO
1033_IEO_FEA_HI,1033,FEA,IEO
1018_IWW_FEA_XX,1018,FEA,IWW
1081_MTI_HAP_XX,1081,HAP,MTI
1078_TAI_DIS_XX,1078,DIS,TAI
1069_IOM_FEA_XX,1069,FEA,IOM
1064_ITH_NEU_XX,1064,NEU,ITH
1048_TIE_DIS_XX,1048,DIS,TIE
1082_MTI_HAP_XX,1082,HAP,MTI
1003_IEO_HAP_HI,1003,HAP,IEO
1072_IOM_ANG_XX,1072,ANG,IOM
1072_ITS_FEA_XX,1072,FEA,ITS
1034_IWL_ANG_XX,1034,ANG,IWL
1001_IWW_NEU_XX,1001,NEU,IWW
1069_ITH_SAD_XX,1069,SAD,ITH
1011_IEO_FEA_LO,1011,FEA,IEO
1050_TIE_HAP_XX,1050,HAP,TIE
1075_TSI_SAD_XX,1075,SAD,TSI
1060_TIE_FEA_XX,1060,FEA,TIE
1081_ITH_FEA_XX,1081,FEA,ITH
1024_IEO_SAD_MD,1024,SAD,IEO
1022_TIE_ANG_XX,1022,ANG,TIE
1060_IWW_FEA_XX,1060,FEA,IWW
1077_IOM_HAP_XX,1077,HAP,IOM
1065_TSI_FEA_XX,1065,FEA,TSI
1046_TAI_NEU_XX,1046,NEU,TAI
1047_IWW_DIS_XX,1047,DIS,IWW
1023_IWW_DIS_XX,1023,DIS,IWW
1064_IEO_DIS_MD,1064,DIS,IEO
1021_IWL_FEA_XX,1021,FEA,IWL
1053_IEO_DIS_MD,1053,DIS,IEO
1054_IEO_DIS_MD,1054,DIS,IEO
1084_IEO_FEA_LO,1084,FEA,IEO
1076_WSI_DIS_XX,1076,DIS,WSI
1063_ITH_HAP_XX,1063,HAP,ITH
1012_IWW_SAD_XX,1012,SAD,IWW
1084_TSI_DIS_XX,1084,DIS,TSI
1076_ITH_ANG_XX,1076,ANG,ITH
1078_DFA_SAD_XX,1078,SAD,DFA
1066_IEO_HAP_LO,1066,HAP,IEO
1076_TIE_DIS_XX,1076,DIS,TIE
1034_WSI_SAD_XX,1034,SAD,WSI
1016_DFA_HAP_XX,1016,HAP,DFA
1088_TIE_NEU_XX,1088,NEU,TIE
1063_IEO_DIS_HI,1063,DIS,IEO
1061_ITS_HAP_XX,1061,HAP,ITS
1053_IEO_ANG_MD,1053,ANG,IEO
1073_ITS_SAD_XX,1073,SAD,ITS
1020_MTI_HAP_XX,1020,HAP,MTI
1029_ITS_DIS_XX,1029,DIS,ITS
1050_ITH_NEU_XX,1050,NEU,ITH
1071_IEO_FEA_HI,1071,FEA,IEO
1083_TIE_DIS_XX,1083,DIS,TIE
1045_TAI_SAD_XX,1045,SAD,TAI
